Age,Occupation,Marital_Status,Policies_Purchased,Renewal_History,Policy_Lapses,Claim_Frequency,Claim_Amount,Premium_Paid,Payment_Mode,Payment_Timing,Customer_Service_Interactions,Response_to_Offers,Cross_Selling_Products,Customer_Lifetime_Value
56,Engineer,Single,3,On-time,1,4,46207,1017,Bank Transfer,On-time,3,Positive,Only Home,1281
69,Retired,Single,4,On-time,2,0,0,1241,Credit Card,On-time,6,Neutral,Only Home,1116
46,Doctor,Divorced,1,On-time,1,1,6437,2977,Cash,On-time,5,Negative,Only Auto,2947
32,Business,Single,1,On-time,1,2,25547,3376,Cash,On-time,8,Positive,Auto + Home,3646
60,Retired,Single,1,On-time,1,3,33518,542,UPI,On-time,9,Positive,Only Health,634
25,Business,Widowed,3,On-time,0,1,24830,3941,Bank Transfer,On-time,5,Negative,Auto + Home,4335
38,Business,Single,3,On-time,2,1,46045,903,Credit Card,Late,2,Neutral,Health + Life,893
56,Doctor,Married,5,Late,1,0,0,1826,UPI,Late,6,Positive,Only Auto,1643
36,Self-Employed,Single,1,On-time,2,4,47553,2716,Credit Card,Late,8,Positive,Only Home,3422
40,Teacher,Divorced,1,On-time,1,4,23349,2649,Bank Transfer,On-time,9,Negative,Auto + Home,3337
28,Retired,Divorced,3,On-time,2,2,30289,2893,Cash,On-time,5,Positive,Only Home,3124
28,Doctor,Married,3,On-time,2,0,0,3150,Cash,On-time,6,Neutral,Only Home,2835
41,Business,Divorced,5,On-time,2,4,29695,4845,Bank Transfer,On-time,7,Neutral,Only Auto,6104
70,Doctor,Divorced,5,On-time,1,3,10734,1377,Cash,On-time,3,Neutral,Auto + Home,1611
53,Self-Employed,Widowed,2,On-time,0,0,0,2386,UPI,Late,4,Neutral,Only Auto,2386
57,Teacher,Married,4,On-time,2,0,0,1803,Bank Transfer,Late,3,Positive,Only Home,1622
41,Student,Widowed,1,On-time,0,4,22478,2240,Cash,On-time,0,Neutral,Auto + Home,3136
20,Retired,Widowed,1,Late,2,1,3382,1612,Bank Transfer,On-time,5,Negative,Only Home,1595
39,Teacher,Single,5,On-time,0,0,0,4376,Credit Card,On-time,6,Negative,Only Home,4376
70,Engineer,Married,5,Missed,2,1,26583,2398,UPI,On-time,1,Neutral,Auto + Home,2374
19,Retired,Single,2,On-time,0,2,43241,747,UPI,Late,5,Positive,Only Health,896
41,Teacher,Single,4,On-time,2,2,38126,3760,UPI,On-time,1,Positive,Only Auto,4060
61,Business,Widowed,2,On-time,2,4,42080,1067,Cash,On-time,9,Positive,Health + Life,1344
47,Retired,Divorced,4,Late,0,2,47799,4309,Credit Card,On-time,4,Negative,Only Home,5170
55,Retired,Married,1,On-time,2,4,29692,1688,Cash,On-time,0,Positive,Only Auto,2126
19,Doctor,Divorced,2,On-time,1,4,33907,3095,Cash,On-time,2,Positive,Only Auto,3899
